"population","indicator","year","demographic_group","percentage","low_ci","high_ci","estimated_count"
adults,"Good, very good, or excellent self-rated health",2011,Total,89.3,88.5,90.0,3117000.0
adults,"Good, very good, or excellent self-rated health",2012,Total,89.5,88.8,90.2,3151000.0
adults,"Good, very good, or excellent self-rated health",2013,Total,91.4,90.7,92.0,3269000.0
adults,"Good, very good, or excellent self-rated health",2014,Total,88.9,88.1,89.7,3255000.0
adults,"Good, very good, or excellent self-rated health",2015,Total,87.7,87.1,88.3,3294000.0
adults,"Good, very good, or excellent self-rated health",2016,Total,88.2,87.5,88.8,3393000.0
adults,"Good, very good, or excellent self-rated health",2017,Total,87.5,86.8,88.2,3436000.0
adults,"Good, very good, or excellent self-rated health",2018,Total,86.1,85.4,86.9,3440000.0
adults,"Good, very good, or excellent self-rated health",2019,Total,87.0,86.3,87.8,3503000.0
adults,"Good, very good, or excellent self-rated health",2020,Total,87.9,87.1,88.7,3618000.0
adults,"Good, very good, or excellent self-rated health",2021,Total,88.0,86.5,89.3,3622000.0
adults,"Good, very good, or excellent self-rated health",2022,Total,86.1,85.0,87.2,3600000.0
adults,"Good, very good, or excellent self-rated health",2023,Total,85.4,84.5,86.3,3668000.0
adults,"Good, very good, or excellent self-rated health",2024,Total,86.6,85.6,87.4,3756000.0
adults,"Good, very good, or excellent self-rated health",2011,"15-24",93.2,91.6,94.6,582000.0
adults,"Good, very good, or excellent self-rated health",2011,"25-34",90.8,89.2,92.2,494000.0
adults,"Good, very good, or excellent self-rated health",2011,"35-44",89.8,88.1,91.4,544000.0
adults,"Good, very good, or excellent self-rated health",2011,"45-54",90.1,88.5,91.6,560000.0
adults,"Good, very good, or excellent self-rated health",2011,"55-64",87.3,85.5,89.0,438000.0
adults,"Good, very good, or excellent self-rated health",2011,"65-74",85.5,83.1,87.7,287000.0
adults,"Good, very good, or excellent self-rated health",2011,"75+",81.8,79.4,84.1,212000.0
adults,"Good, very good, or excellent self-rated health",2012,"15-24",92.1,90.3,93.7,577000.0
adults,"Good, very good, or excellent self-rated health",2012,"25-34",89.9,87.8,91.8,492000.0
adults,"Good, very good, or excellent self-rated health",2012,"35-44",90.3,88.6,91.9,539000.0
adults,"Good, very good, or excellent self-rated health",2012,"45-54",89.6,88.0,91.1,559000.0
adults,"Good, very good, or excellent self-rated health",2012,"55-64",87.5,85.6,89.2,446000.0
adults,"Good, very good, or excellent self-rated health",2012,"65-74",88.9,86.7,90.8,314000.0
adults,"Good, very good, or excellent self-rated health",2012,"75+",85.1,82.1,87.8,225000.0
adults,"Good, very good, or excellent self-rated health",2013,"15-24",93.5,91.7,95.1,593000.0
adults,"Good, very good, or excellent self-rated health",2013,"25-34",93.4,91.9,94.6,526000.0
