"population","indicator","year","comparison","rate_ratio","low_ci","high_ci","adjusted_factors"
children,"Good, very good, or excellent parent-rated health",2024,Boys vs girls,1.0,0.99,1.02,Age
children,"Good, very good, or excellent parent-rated health",2024,Māori vs non-Māori,1.0,0.99,1.02,"Age, gender"
children,"Good, very good, or excellent parent-rated health",2024,Māori boys vs non-Māori boys,1.0,0.98,1.02,Age
children,"Good, very good, or excellent parent-rated health",2024,Māori girls vs non-Māori girls,1.01,0.98,1.03,Age
children,"Good, very good, or excellent parent-rated health",2024,Pacific vs non-Pacific,0.99,0.96,1.01,"Age, gender"
children,"Good, very good, or excellent parent-rated health",2024,Pacific boys vs non-Pacific boys,0.99,0.96,1.03,Age
children,"Good, very good, or excellent parent-rated health",2024,Pacific girls vs non-Pacific girls,0.98,0.94,1.01,Age
children,"Good, very good, or excellent parent-rated health",2024,Asian vs non-Asian,1.02,1.0,1.04,"Age, gender"
children,"Good, very good, or excellent parent-rated health",2024,Asian boys vs non-Asian boys,1.02,1.0,1.04,Age
children,"Good, very good, or excellent parent-rated health",2024,Asian girls vs non-Asian girls,1.01,0.97,1.05,Age
children,"Good, very good, or excellent parent-rated health",2024,Most deprived vs least deprived,0.99,0.97,1.01,"Age, gender, ethnic group"
children,"Good, very good, or excellent parent-rated health",2024,Most deprived vs least deprived - boys,0.97,0.95,1.0,"Age, ethnic group"
children,"Good, very good, or excellent parent-rated health",2024,Most deprived vs least deprived - girls,1.0,0.96,1.04,"Age, ethnic group"
children,"Good, very good, or excellent parent-rated health",2024,Disabled children vs non-disabled children (5-14),0.91,0.85,0.99,"Age, gender"
children,Parent-rated health - very good,2024,Boys vs girls,1.13,1.02,1.24,Age
children,Parent-rated health - very good,2024,Māori vs non-Māori,1.01,0.9,1.14,"Age, gender"
children,Parent-rated health - very good,2024,Māori boys vs non-Māori boys,0.99,0.84,1.18,Age
children,Parent-rated health - very good,2024,Māori girls vs non-Māori girls,1.04,0.86,1.24,Age
children,Parent-rated health - very good,2024,Pacific vs non-Pacific,0.97,0.81,1.16,"Age, gender"
children,Parent-rated health - very good,2024,Pacific boys vs non-Pacific boys,0.92,0.73,1.16,Age
children,Parent-rated health - very good,2024,Pacific girls vs non-Pacific girls,1.02,0.8,1.3,Age
children,Parent-rated health - very good,2024,Asian vs non-Asian,1.12,0.98,1.27,"Age, gender"
children,Parent-rated health - very good,2024,Asian boys vs non-Asian boys,1.16,0.98,1.37,Age
children,Parent-rated health - very good,2024,Asian girls vs non-Asian girls,1.08,0.88,1.33,Age
children,Parent-rated health - very good,2024,Most deprived vs least deprived,1.12,0.88,1.43,"Age, gender, ethnic group"
children,Parent-rated health - very good,2024,Most deprived vs least deprived - boys,1.39,1.0,1.94,"Age, ethnic group"
children,Parent-rated health - very good,2024,Most deprived vs least deprived - girls,0.87,0.63,1.2,"Age, ethnic group"
children,Parent-rated health - very good,2024,Disabled children vs non-disabled children (5-14),0.98,0.8,1.22,"Age, gender"
children,Parent-rated health - good,2024,Boys vs girls,1.04,0.8,1.35,Age
children,Parent-rated health - good,2024,Māori vs non-Māori,1.2,0.96,1.5,"Age, gender"
children,Parent-rated health - good,2024,Māori boys vs non-Māori boys,1.26,0.88,1.78,Age
children,Parent-rated health - good,2024,Māori girls vs non-Māori girls,1.14,0.81,1.59,Age
children,Parent-rated health - good,2024,Pacific vs non-Pacific,1.31,0.95,1.82,"Age, gender"
children,Parent-rated health - good,2024,Pacific boys vs non-Pacific boys,1.28,0.81,2.0,Age
children,Parent-rated health - good,2024,Pacific girls vs non-Pacific girls,1.34,0.88,2.02,Age
children,Parent-rated health - good,2024,Asian vs non-Asian,1.06,0.82,1.36,"Age, gender"
children,Parent-rated health - good,2024,Asian boys vs non-Asian boys,1.16,0.82,1.64,Age
children,Parent-rated health - good,2024,Asian girls vs non-Asian girls,0.94,0.61,1.45,Age
children,Parent-rated health - good,2024,Most deprived vs least deprived,1.33,0.86,2.04,"Age, gender, ethnic group"
children,Parent-rated health - good,2024,Most deprived vs least deprived - boys,1.31,0.69,2.52,"Age, ethnic group"
children,Parent-rated health - good,2024,Most deprived vs least deprived - girls,1.34,0.7,2.54,"Age, ethnic group"
children,Parent-rated health - good,2024,Disabled children vs non-disabled children (5-14),2.49,1.79,3.47,"Age, gender"
children,Poor or fair parent-rated health,2024,Boys vs girls,0.89,0.44,1.83,Age
children,Poor or fair parent-rated health,2024,Māori vs non-Māori,0.86,0.48,1.56,"Age, gender"
children,Poor or fair parent-rated health,2024,Māori boys vs non-Māori boys,0.93,0.37,2.32,Age
children,Poor or fair parent-rated health,2024,Māori girls vs non-Māori girls,0.8,0.34,1.9,Age
children,Poor or fair parent-rated health,2024,Pacific vs non-Pacific,1.61,0.82,3.17,"Age, gender"
children,Poor or fair parent-rated health,2024,Pacific boys vs non-Pacific boys,1.29,0.33,5.03,Age
children,Poor or fair parent-rated health,2024,Pacific girls vs non-Pacific girls,1.9,0.78,4.64,Age
children,Poor or fair parent-rated health,2024,Asian vs non-Asian,0.43,0.11,1.65,"Age, gender"
children,Poor or fair parent-rated health,2024,Asian boys vs non-Asian boys,0.24,0.07,0.8,Age
