"population","demographic_group","indicator","survey_year","value","indicator_type"
children,Total,"Good, very good, or excellent parent-rated health",2011,97.9,Other
children,Boys,"Good, very good, or excellent parent-rated health",2011,97.5,Other
children,Girls,"Good, very good, or excellent parent-rated health",2011,98.3,Other
children,"0-4","Good, very good, or excellent parent-rated health",2011,97.5,Other
children,"5-9","Good, very good, or excellent parent-rated health",2011,98.2,Other
children,"10-14","Good, very good, or excellent parent-rated health",2011,97.9,Other
children,Total Māori,"Good, very good, or excellent parent-rated health",2011,96.8,Other
children,Total Pacific,"Good, very good, or excellent parent-rated health",2011,98.1,Other
children,Total Asian,"Good, very good, or excellent parent-rated health",2011,98.1,Other
children,Total European/Other,"Good, very good, or excellent parent-rated health",2011,97.7,Other
children,Total Northern,"Good, very good, or excellent parent-rated health",2011,98.2,Other
children,Total Midland,"Good, very good, or excellent parent-rated health",2011,96.7,Other
children,Total Central,"Good, very good, or excellent parent-rated health",2011,97.8,Other
children,Total South Island,"Good, very good, or excellent parent-rated health",2011,98.4,Other
children,Māori boys,"Good, very good, or excellent parent-rated health",2011,96.6,Other
children,Māori girls,"Good, very good, or excellent parent-rated health",2011,96.9,Other
children,Pacific boys,"Good, very good, or excellent parent-rated health",2011,97.3,Other
children,Pacific girls,"Good, very good, or excellent parent-rated health",2011,98.8,Other
children,Asian boys,"Good, very good, or excellent parent-rated health",2011,99.0,Other
children,Asian girls,"Good, very good, or excellent parent-rated health",2011,97.1,Other
children,European/Other boys,"Good, very good, or excellent parent-rated health",2011,97.2,Other
children,European/Other girls,"Good, very good, or excellent parent-rated health",2011,98.3,Other
children,Northern boys,"Good, very good, or excellent parent-rated health",2011,97.6,Other
children,Midland boys,"Good, very good, or excellent parent-rated health",2011,96.1,Other
children,Central boys,"Good, very good, or excellent parent-rated health",2011,98.2,Other
children,South Island boys,"Good, very good, or excellent parent-rated health",2011,98.0,Other
children,Northern girls,"Good, very good, or excellent parent-rated health",2011,99.0,Other
children,Midland girls,"Good, very good, or excellent parent-rated health",2011,97.3,Other
children,Central girls,"Good, very good, or excellent parent-rated health",2011,97.4,Other
children,South Island girls,"Good, very good, or excellent parent-rated health",2011,98.8,Other
children,Total Non-disabled,"Good, very good, or excellent parent-rated health",2011,0.0,Other
children,Total Disabled,"Good, very good, or excellent parent-rated health",2011,0.0,Other
children,Non-disabled boys,"Good, very good, or excellent parent-rated health",2011,0.0,Other
children,Disabled boys,"Good, very good, or excellent parent-rated health",2011,0.0,Other
children,Non-disabled girls,"Good, very good, or excellent parent-rated health",2011,0.0,Other
children,Disabled girls,"Good, very good, or excellent parent-rated health",2011,0.0,Other
children,Total,Parent-rated health - very good,2011,29.1,Other
children,Boys,Parent-rated health - very good,2011,29.9,Other
children,Girls,Parent-rated health - very good,2011,28.2,Other
children,"0-4",Parent-rated health - very good,2011,29.8,Other
children,"5-9",Parent-rated health - very good,2011,30.7,Other
children,"10-14",Parent-rated health - very good,2011,26.8,Other
children,Total Māori,Parent-rated health - very good,2011,32.7,Other
children,Total Pacific,Parent-rated health - very good,2011,34.8,Other
children,Total Asian,Parent-rated health - very good,2011,35.1,Other
children,Total European/Other,Parent-rated health - very good,2011,26.7,Other
children,Total Northern,Parent-rated health - very good,2011,32.9,Other
children,Total Midland,Parent-rated health - very good,2011,30.4,Other
children,Total Central,Parent-rated health - very good,2011,31.9,Other
children,Total South Island,Parent-rated health - very good,2011,17.8,Other
children,Māori boys,Parent-rated health - very good,2011,33.0,Other
children,Māori girls,Parent-rated health - very good,2011,32.3,Other
children,Pacific boys,Parent-rated health - very good,2011,37.4,Other
children,Pacific girls,Parent-rated health - very good,2011,32.1,Other
children,Asian boys,Parent-rated health - very good,2011,31.0,Other
children,Asian girls,Parent-rated health - very good,2011,39.8,Other
children,European/Other boys,Parent-rated health - very good,2011,27.9,Other
children,European/Other girls,Parent-rated health - very good,2011,25.4,Other
children,Northern boys,Parent-rated health - very good,2011,34.8,Other
children,Midland boys,Parent-rated health - very good,2011,30.5,Other
children,Central boys,Parent-rated health - very good,2011,35.0,Other
children,South Island boys,Parent-rated health - very good,2011,14.7,Other
children,Northern girls,Parent-rated health - very good,2011,30.6,Other
children,Midland girls,Parent-rated health - very good,2011,30.4,Other
children,Central girls,Parent-rated health - very good,2011,29.0,Other
children,South Island girls,Parent-rated health - very good,2011,21.0,Other
children,Total Non-disabled,Parent-rated health - very good,2011,0.0,Other
children,Total Disabled,Parent-rated health - very good,2011,0.0,Other
children,Non-disabled boys,Parent-rated health - very good,2011,0.0,Other
children,Disabled boys,Parent-rated health - very good,2011,0.0,Other
children,Non-disabled girls,Parent-rated health - very good,2011,0.0,Other
children,Disabled girls,Parent-rated health - very good,2011,0.0,Other
children,Total,Parent-rated health - good,2011,9.0,Other
children,Boys,Parent-rated health - good,2011,9.2,Other
children,Girls,Parent-rated health - good,2011,8.9,Other
children,"0-4",Parent-rated health - good,2011,9.1,Other
children,"5-9",Parent-rated health - good,2011,8.6,Other
children,"10-14",Parent-rated health - good,2011,9.4,Other
children,Total Māori,Parent-rated health - good,2011,10.8,Other
children,Total Pacific,Parent-rated health - good,2011,13.4,Other
children,Total Asian,Parent-rated health - good,2011,10.5,Other
children,Total European/Other,Parent-rated health - good,2011,7.8,Other
children,Total Northern,Parent-rated health - good,2011,10.4,Other
children,Total Midland,Parent-rated health - good,2011,7.7,Other
children,Total Central,Parent-rated health - good,2011,11.1,Other
children,Total South Island,Parent-rated health - good,2011,6.1,Other
children,Māori boys,Parent-rated health - good,2011,12.0,Other
children,Māori girls,Parent-rated health - good,2011,9.6,Other
children,Pacific boys,Parent-rated health - good,2011,14.7,Other
children,Pacific girls,Parent-rated health - good,2011,12.1,Other
children,Asian boys,Parent-rated health - good,2011,10.5,Other
children,Asian girls,Parent-rated health - good,2011,10.5,Other
children,European/Other boys,Parent-rated health - good,2011,7.6,Other
children,European/Other girls,Parent-rated health - good,2011,8.1,Other
children,Northern boys,Parent-rated health - good,2011,10.5,Other
children,Midland boys,Parent-rated health - good,2011,7.0,Other
children,Central boys,Parent-rated health - good,2011,12.0,Other
children,South Island boys,Parent-rated health - good,2011,6.1,Other
children,Northern girls,Parent-rated health - good,2011,10.2,Other
children,Midland girls,Parent-rated health - good,2011,8.3,Other
children,Central girls,Parent-rated health - good,2011,10.3,Other
children,South Island girls,Parent-rated health - good,2011,6.1,Other
children,Total Non-disabled,Parent-rated health - good,2011,0.0,Other
children,Total Disabled,Parent-rated health - good,2011,0.0,Other
children,Non-disabled boys,Parent-rated health - good,2011,0.0,Other
children,Disabled boys,Parent-rated health - good,2011,0.0,Other
children,Non-disabled girls,Parent-rated health - good,2011,0.0,Other
children,Disabled girls,Parent-rated health - good,2011,0.0,Other
children,Total,Poor or fair parent-rated health,2011,2.1,Other
children,Boys,Poor or fair parent-rated health,2011,2.5,Other
children,Girls,Poor or fair parent-rated health,2011,1.7,Other
children,"0-4",Poor or fair parent-rated health,2011,2.5,Other
children,"5-9",Poor or fair parent-rated health,2011,1.8,Other
children,"10-14",Poor or fair parent-rated health,2011,2.1,Other
children,Total Māori,Poor or fair parent-rated health,2011,3.2,Other
children,Total Pacific,Poor or fair parent-rated health,2011,1.9,Other
children,Total Asian,Poor or fair parent-rated health,2011,1.9,Other
children,Total European/Other,Poor or fair parent-rated health,2011,2.3,Other
children,Total Northern,Poor or fair parent-rated health,2011,1.8,Other
children,Total Midland,Poor or fair parent-rated health,2011,3.3,Other
children,Total Central,Poor or fair parent-rated health,2011,2.2,Other
children,Total South Island,Poor or fair parent-rated health,2011,1.6,Other
children,Māori boys,Poor or fair parent-rated health,2011,3.4,Other
children,Māori girls,Poor or fair parent-rated health,2011,3.1,Other
children,Pacific boys,Poor or fair parent-rated health,2011,2.7,Other
children,Pacific girls,Poor or fair parent-rated health,2011,1.2,Other
children,Asian boys,Poor or fair parent-rated health,2011,1.0,Other
children,Asian girls,Poor or fair parent-rated health,2011,2.9,Other
children,European/Other boys,Poor or fair parent-rated health,2011,2.8,Other
children,European/Other girls,Poor or fair parent-rated health,2011,1.7,Other
children,Northern boys,Poor or fair parent-rated health,2011,2.4,Other
children,Midland boys,Poor or fair parent-rated health,2011,3.9,Other
children,Central boys,Poor or fair parent-rated health,2011,1.8,Other
children,South Island boys,Poor or fair parent-rated health,2011,2.0,Other
children,Northern girls,Poor or fair parent-rated health,2011,1.0,Other
children,Midland girls,Poor or fair parent-rated health,2011,2.7,Other
children,Central girls,Poor or fair parent-rated health,2011,2.6,Other
children,South Island girls,Poor or fair parent-rated health,2011,1.2,Other
children,Total Non-disabled,Poor or fair parent-rated health,2011,0.0,Other
children,Total Disabled,Poor or fair parent-rated health,2011,0.0,Other
children,Non-disabled boys,Poor or fair parent-rated health,2011,0.0,Other
children,Disabled boys,Poor or fair parent-rated health,2011,0.0,Other
children,Non-disabled girls,Poor or fair parent-rated health,2011,0.0,Other
children,Disabled girls,Poor or fair parent-rated health,2011,0.0,Other
children,Total,Parent-rated health - excellent,2011,59.7,Other
children,Boys,Parent-rated health - excellent,2011,58.3,Other
children,Girls,Parent-rated health - excellent,2011,61.2,Other
children,"0-4",Parent-rated health - excellent,2011,58.6,Other
children,"5-9",Parent-rated health - excellent,2011,58.9,Other
children,"10-14",Parent-rated health - excellent,2011,61.7,Other
children,Total Māori,Parent-rated health - excellent,2011,53.3,Other
children,Total Pacific,Parent-rated health - excellent,2011,49.9,Other
children,Total Asian,Parent-rated health - excellent,2011,52.4,Other
children,Total European/Other,Parent-rated health - excellent,2011,63.2,Other
children,Total Northern,Parent-rated health - excellent,2011,55.0,Other
children,Total Midland,Parent-rated health - excellent,2011,58.6,Other
children,Total Central,Parent-rated health - excellent,2011,54.8,Other
children,Total South Island,Parent-rated health - excellent,2011,74.4,Other
children,Māori boys,Parent-rated health - excellent,2011,51.6,Other
children,Māori girls,Parent-rated health - excellent,2011,55.0,Other
children,Pacific boys,Parent-rated health - excellent,2011,45.2,Other
children,Pacific girls,Parent-rated health - excellent,2011,54.7,Other
children,Asian boys,Parent-rated health - excellent,2011,57.5,Other
children,Asian girls,Parent-rated health - excellent,2011,46.7,Other
children,European/Other boys,Parent-rated health - excellent,2011,61.8,Other
children,European/Other girls,Parent-rated health - excellent,2011,64.7,Other
children,Northern boys,Parent-rated health - excellent,2011,52.3,Other
children,Midland boys,Parent-rated health - excellent,2011,58.5,Other
children,Central boys,Parent-rated health - excellent,2011,51.1,Other
children,South Island boys,Parent-rated health - excellent,2011,77.1,Other
